"name";"intcode";"barcode";"price";"dept";"tag";"unit"
"188";"Жесткий диск 500ГБ Seagate ""Barracuda 7200.12 ST3500418AS"" 7200об./мин., 16МБ (SATA II)";"1480";"Россия";"0"
"189";"Клавиатура Mitsumi ""Classic"", 104кн. (PS/2)";"390";"Россия";"0"
"190";"Диск DVD+R 4.7ГБ 16x Smart Track SP-25 /600/";"15,5";"Россия";"0"
"191";"Диск DVD+R 4.7ГБ 16x Smart Track CB-10 /600/";"15,5";"Россия";"0"
"192";"Диск DVD+R Double Sided 9.4ГБ 8x CB-10 /200/";"19,50";"Россия";"0"
"193";"Проведение технической экспертизы";"650";"Россия";"null"
"194";"Материнская плата Socket478 ASRock ""P4I945GС""";"2600";"Россия";"0"
"195";"Корпус Miditower Classix ""Event"" ATX 2.03";"1110";"Россия";"0"
"196";"Корпус Codegen QoRi ATX-3341-A11-USB/Audio (silver/black) 450w";"1350";"Россия";"0"
"197";"Корпус Miditower IN-WIN EAR-018";"2241";"Россия";"0"
"198";"Корпус Miditower IN-WIN ""IW-J649""";"3849.95";"Россия";"0"
"199";"Жесткий диск 1500ГБ Seagate ""Barracuda 7200.11 ST31500341AS"" 7200об./мин., 32МБ (SATA II)";"4600";"Россия";"0"
"200";"Формирование отчетности в ФНС и ПФ";"300";"Россия";"0"
"202";"Сетевой адаптер Bluetooth Gembird, мини, черный (USB)";"275";"Россия";"0"
"203";"Картридж Xerox ""013R00625"" для WorkCentre 3119";"3366";"Россия";"0"
"204";"Диск CD-R 700MБ 52x Philips 80min пласт. коробка, на шпинделе (50шт./уп)	";"9,5";"Россия";"0"
"205";"Карта памяти 2ГБ Transcend ""TS2GUSD"" Micro SecureDigital Card + адаптер";"214,95";"Россия";"0"
"206";"Карта памяти 8ГБ Transcend ""TS8GSDHC2"" SecureDigital Card HC Class2	";"574,95";"Россия";"0"
"208";"Видеокарта PCI-E 512МБ Palit ""GeForce GF210"" (GeForce 210, DDR2, D-Sub, DVI, HDMI)";"1474,95";"Россия";"0"
"210";"Дискета Verbatim";"15";"Россия";"0"
"215";"Процессор Intel ""Pentium Dual-Core E5500"" (2.80ГГц, 2МБ, 800МГц, EM64T) Socket775";"2299.95";"Россия";"0"
"216";"Процессор Intel ""CeleronD 3.04 (3.07ГГц, 1МБ, 800МГц, EM64T) Socket775";"1263";"Россия";"0"
"218";"ЖК-монитор 20.0"" BenQ ""G2025HDA"" 1600x900, 5мс, черный (D-Sub)";"5699.95";"Россия";"0"
